Community Index,Community Size,Term,Overlap,Adjusted P-value,Category,Gene_set,P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Overlap (value)
1,1031,RNA Binding (GO:0003723),359/1411,2.5317713471325422e-160,binding,GO_Molecular_Function_2023,6.160027608594992e-163,0.0,0.0,9.098603283994208,3398.3582509552502,POP5;SLC4A1AP;POP1;RTCA;RRP1;PPAN;FCF1;HNRNPU;GPATCH4;HNRNPR;PWP2;CCAR1;RRP9;LSM10;PNN;SNRPD2;SNRPD1;ALKBH1;DHX57;MAGOH;LUC7L;ARL6IP4;SNRPD3;ABT1;DDX18;NGDN;METTL3;DNTTIP2;WDR75;RC3H2;CDC40;GTPBP4;SRRM1;DDX39B;LACTB2;CLNS1A;ZC3H11A;SUB1;SARNP;GRWD1;CCDC86;SRFBP1;AARS1;DHX8;CSTF3;MRPL19;CSTF2;MRPL16;NOLC1;SNU13;NMD3;MRPL12;HTATSF1;HNRNPLL;MRPL13;GSPT1;MRPL11;RRP7A;MRPL20;DHX33;PDCD11;ERI1;DHX35;ERI3;RRS1;RBM12;RBM10;TRMT1L;BTF3;PRPF38B;PRPF38A;PNO1;MRPL27;KNOP1;LARP7;MRPL28;UPF3B;PRRC2C;UPF3A;PA2G4;LARP4;MRPL23;MAGOHB;PUM3;MRPL22;AIMP1;HNRNPL;HNRNPM;TBL3;TBL2;HNRNPK;LAS1L;EPRS1;FUBP1;HNRNPD;MPHOSPH10;RNPS1;DHX29;NOL11;HNRNPC;ALDH18A1;NOL12;FARSA;DZIP3;SUGP2;MRPS15;DAZAP1;GFM1;FASTKD1;MRPS14;FASTKD2;MRPS11;MRPS12;MRPL39;NAT10;MRPL37;AATF;SMG7;ZCCHC17;WDR46;WDR43;MRPL41;MRPL42;SYNCRIP;MRPL40;PCF11;DHX15;RRP12;UTP14A;MRPS28;MRPS26;WDR36;MRPS27;CLUH;NSUN2;STRBP;MRPS23;PRPF40A;MRPS7;GNL2;MRPL44;GNL3;WDR33;NME1;NSA2;SLTM;SDE2;FAM32A;HNRNPH2;HNRNPH3;TRUB1;FYTTD1;SF3B5;SF3B2;STAU1;STAU2;NIP7;SRRT;HEATR1;MRPS31;NOL7;NOL8;MRPS30;NOL6;PURA;BCLAF1;EXOSC10;TCOF1;SRP72;PES1;SF3B1;SRSF11;TEFM;TSNAX;SF3A3;UTP6;SF3A1;UTP4;YTHDF3;UTP3;RSRC2;NOC3L;RRP1B;NPM3;LRPPRC;SCAF4;NUDT21;BOP1;PHF5A;XPOT;SERBP1;HNRNPA2B1;TRMT6;TSR1;UBAP2;TARDBP;DBR1;RPP30;BCCIP;NUCKS1;CASC3;YARS1;BZW1;FBL;HMGN5;ZNF207;MTPAP;SNRNP35;CHCHD1;EIF1AX;DIMT1;THOC2;WBP11;THOC5;PUS7;ILF2;FTSJ3;EBNA1BP2;ILF3;RBMXL1;PRPF6;HNRNPUL1;PSPC1;RPL7L1;PRPF3;MRTO4;SRSF2;SRSF3;GEMIN5;SRSF4;ERH;MATR3;SRSF6;SRSF7;FKBP3;SRSF8;SRSF9;DAP3;LRRC59;UTP25;RBM8A;YTHDC1;DDX1;YTHDC2;UTP23;NOP2;ISG20L2;UBFD1;NTPCR;PRPF8;EMG1;G3BP1;KHDC4;UTP20;GCN1;NOP14;CHTOP;NOP16;FUS;API5;NONO;RPP40;LSM1;TBCA;LSM3;CHERP;LSM8;CAPRIN1;PIN4;GRSF1;LSM14A;RBM27;RBM28;DIDO1;RBM25;DDX49;RBM26;NVL;CCDC47;WDR3;MRPL4;DUSP11;RBM3;NGRN;MRPL3;MRPL2;MRPL1;SART3;SNRNP70;RBM34;TNPO1;METTL16;RBM5;UTP15;EIF5B;TSFM;RBM14;RBM19;EDF1;URB1;UTP18;DARS1;SUPV3L1;DNAJC2;DDX19B;NEMF;C1D;LUC7L3;ETF1;NCBP3;DDX27;NUFIP1;NUFIP2;USP10;SRSF1;MAK16;DDX23;WBP4;GTPBP10;DDX21;U2AF1;MTIF2;TBRG4;HSPD1;PABPN1;U2AF2;BMS1;TRA2B;TRA2A;EIF4H;HNRNPA1;SMNDC1;DCAF13;HNRNPA0;NOP56;PTCD3;RBM39;NOP58;HNRNPA3;SSB;GPKOW;NIFK;KRR1;CDC5L;IMMT;HSPE1;HNRNPAB;TPD52L2;U2SURP;SNRNP40;MFAP1;ESF1;FAM98A;SLIRP;NAA15;R3HDM1;PPIL4;EIF3B;FAM50A,0.25442948263642806
1,1031,Regulation Of RNA Metabolic Process (GO:0051252),19/91,5.30819843446457e-06,biological regulation,GO_Biological_Process_2023,1.5338137119416037e-07,0.0,0.0,4.927577404479578,77.31535694285422,SF3B5;ENY2;SF3B3;FUS;SRSF1;RRP1B;HNRNPLL;RC3H2;HNRNPL;SNRNP70;TRA2B;METTL4;HNRNPH2;SUPT20H;HNRNPH3;HNRNPA1;RBM12;GRSF1;FAM50A,0.2087912087912088
1,1031,Ribosome Assembly (GO:0042255),14/50,4.970328578121937e-06,cellular process,GO_Biological_Process_2023,1.40802509295239e-07,0.0,0.0,7.239757456571616,114.21374447627034,RRP7BP;MRPS11;NOP2;PPAN;MRPS2;PWP2;MRPS7;MRPL22;RRP7A;NGRN;MRPL20;RRS1;DHX29;MDN1,0.28
1,1031,Translocation Of Molecules Into Host (GO:0044417),6/7,4.461144256891196e-06,biological process involved in interspecies interaction between organisms,GO_Biological_Process_2023,1.2385046378904737e-07,0.0,0.0,111.03219512195122,1765.8772312909048,DDX39B;THOC1;THOC2;THOC5;THOC7;THOC6,0.8571428571428571
1,1031,Viral mRNA Export From Host Cell Nucleus (GO:0046784),6/7,4.461144256891196e-06,viral process,GO_Biological_Process_2023,1.2385046378904737e-07,0.0,0.0,111.03219512195122,1765.8772312909048,DDX39B;THOC1;THOC2;THOC5;THOC7;THOC6,0.8571428571428571
1,1031,"Maturation Of LSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)",8/14,4.146024756008989e-06,cellular process,GO_Biological_Process_2023,1.1040405865859633e-07,0.0,0.0,24.71554252199413,395.9212153404713,DDX18;NIFK;PES1;RPL7L1;URB1;WDR12;RBM34;FTSJ3,0.5714285714285714
1,1031,Regulation Of mRNA Processing (GO:0050684),12/35,3.511865868115086e-06,biological regulation,GO_Biological_Process_2023,9.152738239846684e-08,0.0,0.0,9.700558945257498,157.21334680568128,RBM39;HNRNPK;RBM8A;SLTM;YTHDC1;MAGOH;PAPOLA;LARP7;SRSF3;METTL16;MAGOHB;SRRM1,0.34285714285714286
1,1031,Mitochondrion Organization (GO:0007005),27/162,2.498852000121398e-06,cellular process,GO_Biological_Process_2023,6.371010765182034e-08,0.0,0.0,3.751792828685259,62.16316503137811,TIMM9;TIMM13;MIEF1;TIMM10;TOMM20;HSPD1;CHCHD3;SAMM50;OPA1;MSTO1;CHCHD7;TIMM17A;TIMM17B;MPV17;SLC25A46;DNAJC19;TIMM8B;CLUH;MTX2;TOMM34;TIMM23;GDAP1;SUPV3L1;OXA1L;FMC1;MTFR1;ATPAF1,0.16666666666666666
1,1031,RNA Modification (GO:0009451),15/51,9.701248808105691e-07,cellular process,GO_Biological_Process_2023,2.4184416292161496e-08,0.0,0.0,7.764517716535433,136.17067487369334,TRUB1;AARS1;SSB;METTL1;NSUN2;WDR4;METTL3;TSR3;NAT10;KTI12;PUS7;FTSJ1;HNRNPAB;FTSJ3;ALKBH1,0.29411764705882354
1,1031,Establishment Of Protein Localization To Mitochondrion (GO:0072655),14/44,9.467431026278344e-07,localization,GO_Biological_Process_2023,2.3065129412462826e-08,0.0,0.0,8.690462143559488,152.82128933934646,DNAJC19;TIMM8B;TIMM9;PAM16;TIMM13;TOMM34;TIMM23;TIMM10;TOMM20;GDAP1;HSPD1;GRPEL1;TIMM17A;TIMM17B,0.3181818181818182
