Community Index,Community Size,Term,Overlap,Adjusted P-value,Category,Gene_set,P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Overlap (value)
0,974,Golgi Vesicle Transport (GO:0048193),51/197,3.8678799350088726e-20,localization,GO_Biological_Process_2023,1.9999379188256842e-23,0.0,0.0,7.145252971994242,373.4562283610275,ARF3;ARF4;PITPNB;PDCD6;IER3IP1;USE1;BICD2;GOLGA2;AP4M1;GOLGA4;GOLGA5;TMED3;BCAP29;KIF1C;TMED5;TMED4;RAB2A;GOLPH3L;SCAMP1;SCAMP3;TRAPPC6A;RER1;RP2;KDELR2;PREB;ERGIC2;ERGIC1;SEC22C;NBAS;COPA;TMED10;SAR1A;ATL3;GOSR2;STX18;GOSR1;TEX261;SCFD1;VPS51;LMAN2;RAB6A;YKT6;ATP9B;VTI1B;SEC24B;YIPF4;SEC16A;SURF4;YIPF5;CNIH4;BET1,0.25888324873096447
0,974,Intra-Golgi And Retrograde Golgi-to-ER Traffic R-HSA-6811442,49/181,6.103322962064275e-21,Vesicle-mediated transport,Reactome_2022,1.7289866748057434e-23,0.0,0.0,7.582358722358722,397.4059911955908,ARF3;ARF4;SCOC;GOLIM4;RABEPK;BICD2;GOLGA4;CAPZB;GOLGA1;TMED3;KIF1C;KIF21A;KIF1B;KIF21B;KIFAP3;SNAP29;NAA30;ARFGAP2;KIF9;RAB36;KIFC2;KIF16B;NAA35;PLIN3;KDELR2;NAA38;PAFAH1B2;COPA;NBAS;TMF1;STX16;GOSR2;GOSR1;STX18;TGOLN2;ARFRP1;KIF3B;MAN2A2;VPS51;VPS52;VPS54;KIF3C;RAB6A;YKT6;SURF4;M6PR;CAPZA2;RAB18;RAB3GAP2,0.27071823204419887
0,974,Membrane Trafficking R-HSA-199991,88/599,1.578844551171621e-18,Vesicle-mediated transport,Reactome_2022,8.945294907487938e-21,0.0,0.0,3.598750734407372,166.12970331641534,ARF3;ARF4;SCOC;MCFD2;C2CD5;GOLIM4;CLINT1;RABEPK;BICD2;AP4M1;GOLGA2;GOLGA4;AP1G2;CAPZB;GOLGA1;TMED3;KIF1C;KIF21A;KIF1B;AP3S1;KIF21B;KIFAP3;SNAP29;TPD52;NAA30;AP3B1;GAPVD1;ARFGAP2;KIF9;TRAPPC6A;KIFC2;RAB36;KIF16B;TBC1D24;PLIN3;NAA35;KDELR2;PREB;NAA38;PAFAH1B2;SEC22C;NBAS;SEC23A;COPA;TMF1;RABGAP1;STX16;GOSR2;STX18;GOSR1;GGA2;TGOLN2;ARFRP1;BLOC1S6;SCFD1;VPS51;KIF3B;MAN2A2;LMAN2;VPS52;PACSIN2;TBC1D13;VPS54;AP4S1;CHML;KIF3C;RAB6A;TBC1D17;YKT6;TBC1D15;UBQLN2;TBC1D16;SEC24B;SNAPIN;SEC16A;RAB3IP;SURF4;M6PR;TOR1B;PUM1;SEC23IP;CNIH1;NECAP1;CAPZA2;RAB18;RAB3GAP2;ACBD3;BET1,0.14691151919866444
0,974,Vesicle-mediated Transport R-HSA-5653656,88/637,6.259634783300627e-17,Vesicle-mediated transport,Reactome_2022,5.319802931983535e-19,0.0,0.0,3.342782074529105,140.6565161368286,ARF3;ARF4;SCOC;MCFD2;C2CD5;GOLIM4;CLINT1;RABEPK;BICD2;AP4M1;GOLGA2;GOLGA4;AP1G2;CAPZB;GOLGA1;TMED3;KIF1C;KIF21A;KIF1B;AP3S1;KIF21B;KIFAP3;SNAP29;TPD52;NAA30;AP3B1;GAPVD1;ARFGAP2;KIF9;TRAPPC6A;KIFC2;RAB36;KIF16B;TBC1D24;PLIN3;NAA35;KDELR2;PREB;NAA38;PAFAH1B2;SEC22C;NBAS;SEC23A;COPA;TMF1;RABGAP1;STX16;GOSR2;STX18;GOSR1;GGA2;TGOLN2;ARFRP1;BLOC1S6;SCFD1;VPS51;KIF3B;MAN2A2;LMAN2;VPS52;PACSIN2;TBC1D13;VPS54;AP4S1;CHML;KIF3C;RAB6A;TBC1D17;YKT6;TBC1D15;UBQLN2;TBC1D16;SEC24B;SNAPIN;SEC16A;RAB3IP;SURF4;M6PR;TOR1B;PUM1;SEC23IP;CNIH1;NECAP1;CAPZA2;RAB18;RAB3GAP2;ACBD3;BET1,0.13814756671899528
0,974,Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168,57/307,1.4131692454468498e-16,Immune System,Reactome_2022,1.6013249240190934e-18,0.0,0.0,4.668405670665213,191.2911916857588,UBE2D4;RNF14;LTN1;UBE3B;FBXO21;HERC4;NPEPPS;RNF114;UBE2Q2;ARIH2;UNKL;FBXO9;UBE2E3;FBXO17;FBXO15;UBE2E2;UBE4A;FBXO11;LRRC41;FBXW2;PJA2;KCTD7;PJA1;GAN;MGRN1;UBA5;ASB13;RNF6;FBXO44;FBXO41;ZNRF2;HECTD1;BTBD1;RNF138;RBBP6;LONRF1;RNF130;HACE1;KLHL2;FBXL14;UBAC1;FBXO31;KLHL20;KLHL9;UBE2W;KBTBD6;KLHL5;ASB9;RLIM;ASB6;TPP2;UBE2O;ASB7;TRIP12;DZIP3;FBXL7;RNF220,0.18566775244299674
0,974,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,59/378,1.2416010706291458e-13,Immune System,Reactome_2022,1.7586417431007732e-15,0.0,0.0,3.781328262843243,128.4677335796348,UBE2D4;RNF14;LTN1;UBE3B;FBXO21;HERC4;NPEPPS;RNF114;UBE2Q2;ARIH2;UNKL;FBXO9;UBE2E3;FBXO17;FBXO15;UBE2E2;UBE4A;FBXO11;LRRC41;FBXW2;PJA2;KCTD7;PJA1;GAN;SEC23A;MGRN1;UBA5;ASB13;RNF6;FBXO44;FBXO41;ZNRF2;HECTD1;BTBD1;RNF138;RBBP6;LONRF1;RNF130;SEC24B;HACE1;KLHL2;FBXL14;UBAC1;FBXO31;KLHL20;KLHL9;UBE2W;KBTBD6;KLHL5;ASB9;RLIM;ASB6;TPP2;UBE2O;ASB7;TRIP12;DZIP3;FBXL7;RNF220,0.15608465608465608
0,974,Golgi-to-ER Retrograde Transport R-HSA-8856688,26/112,1.1648327156204936e-09,Vesicle-mediated transport,Reactome_2022,1.9798856356155703e-11,0.0,0.0,6.04013345108429,148.86148647064982,ARF3;ARF4;COPA;NBAS;STX18;BICD2;KIF3B;CAPZB;TMED3;KIF1C;KIF21A;KIF1B;KIF21B;KIF3C;KIFAP3;RAB6A;SURF4;ARFGAP2;KIF9;KIFC2;KIF16B;CAPZA2;RAB18;RAB3GAP2;KDELR2;PAFAH1B2,0.23214285714285715
0,974,Retrograde Transport At Trans-Golgi-Network R-HSA-6811440,17/48,2.1787708299637803e-09,Vesicle-mediated transport,Reactome_2022,4.3205087279735015e-11,0.0,0.0,10.884652981427177,259.7629276818702,SCOC;NAA30;TMF1;STX16;M6PR;RABEPK;TGOLN2;ARFRP1;GOLGA4;VPS51;GOLGA1;VPS52;VPS54;NAA35;PLIN3;NAA38;RAB6A,0.3541666666666667
0,974,Neddylation R-HSA-8951664,37/237,1.4742330989271542e-08,Metabolism of proteins,Reactome_2022,3.3410381845374603e-10,0.0,0.0,3.7169797225186767,81.10289678178883,DCUN1D4;DCUN1D1;ASB13;DCAF5;FBXO21;FBXO44;FBXO41;DCAF6;DDA1;BTBD1;DCAF11;FBXO9;WSB2;FEM1B;COMMD10;FBXO17;COMMD3;KLHL2;FBXO15;FBXO11;FBXL14;LRRC41;FBXW2;PUM2;KCTD7;FBXO31;KLHL20;KLHL9;SPSB3;KBTBD6;KLHL5;GAN;ASB9;ASB6;ASB7;CCDC22;FBXL7,0.15611814345991562
0,974,COPI-dependent Golgi-to-ER Retrograde Traffic R-HSA-6811434,19/78,1.6695377480740007e-07,Vesicle-mediated transport,Reactome_2022,4.256611822284987e-09,0.0,0.0,6.395829266128317,123.27828094673534,ARF3;ARF4;COPA;NBAS;STX18;SURF4;ARFGAP2;KIF9;KIFC2;KIF3B;KIF16B;TMED3;KIF1C;KIF1B;KIF21A;KDELR2;KIF21B;KIF3C;KIFAP3,0.24358974358974358
