Community Index,Community Size,Term,Overlap,Adjusted P-value,Category,Gene_set,P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Overlap (value)
0,1025,Ubiquitin-Protein Transferase Activity (GO:0004842),60/412,4.9846096941411305e-11,catalytic activity,GO_Molecular_Function_2023,2.323827363235958e-13,0.0,0.0,3.289507772020725,95.69306615736672,RNF10;UBE2D4;RNF13;PPP1R11;RNF14;LTN1;UBE3B;FBXO21;RPGR;RNF157;HERC4;RNF114;MAEA;ARIH2;FBXO9;RSPRY1;KCMF1;RNF44;UBE2E3;FBXO17;UBE2E2;FBXO11;RC3H2;FBXW2;PJA2;RNF144A;RNF121;MGRN1;RNF38;MYCBP2;UBR3;RNF6;UBR1;RMND5B;ZNRF2;HECTD1;RMND5A;RNF138;UBR5;RBBP6;LONRF1;RNF130;TRIM44;MARCHF5;BFAR;FBXL14;KLHL20;KLHL9;UBE2W;TTC3;RLIM;RNF181;UBE2O;TRIP12;BCOR;FBXL5;RNF141;DZIP3;RNF220;ASB1,0.14563106796116504
0,1025,Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168,55/307,1.1282901801946599e-13,Immune System,Reactome_2022,3.151648548029776e-16,0.0,0.0,4.212751595483554,150.36757871325673,UBE2D4;RNF14;LTN1;UBE3B;FBXO21;HERC4;NPEPPS;RNF114;ARIH2;UNKL;FBXO9;FBXW4;WSB1;UBE2E3;FBXO17;UBE2E2;UBE4A;FBXO11;LRRC41;FBXW2;PJA2;KCTD7;PJA1;GAN;MGRN1;UBA5;ASB13;RNF6;UBR1;FBXO41;ZNRF2;HECTD1;RNF138;RBBP6;LONRF1;RNF130;KLHL2;FBXL14;FBXO31;KLHL20;KLHL9;UBE2W;KLHL5;ASB9;RLIM;ASB6;TPP2;UBE2O;ASB7;TRIP12;FBXL5;DZIP3;FBXL7;RNF220;ASB1,0.1791530944625407
0,1025,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,55/378,4.387452420829482e-10,Immune System,Reactome_2022,2.4510907378935657e-12,0.0,0.0,3.2742651048482334,87.5358011259089,UBE2D4;RNF14;LTN1;UBE3B;FBXO21;HERC4;NPEPPS;RNF114;ARIH2;UNKL;FBXO9;FBXW4;WSB1;UBE2E3;FBXO17;UBE2E2;UBE4A;FBXO11;LRRC41;FBXW2;PJA2;KCTD7;PJA1;GAN;MGRN1;UBA5;ASB13;RNF6;UBR1;FBXO41;ZNRF2;HECTD1;RNF138;RBBP6;LONRF1;RNF130;KLHL2;FBXL14;FBXO31;KLHL20;KLHL9;UBE2W;KLHL5;ASB9;RLIM;ASB6;TPP2;UBE2O;ASB7;TRIP12;FBXL5;DZIP3;FBXL7;RNF220;ASB1,0.1455026455026455
0,1025,Neddylation R-HSA-8951664,41/237,7.566094318522505e-10,Metabolism of proteins,Reactome_2022,6.340302501555173e-12,0.0,0.0,3.9921343537414966,102.93356997425629,DCUN1D3;DCUN1D4;DCUN1D1;ASB13;TULP4;DCAF5;FBXO21;DCAF4;FBXO41;DCAF6;DDA1;DCAF11;FBXO9;FBXW4;WSB1;WSB2;FEM1B;COMMD10;FBXO17;COMMD3;KLHL2;COMMD6;FBXO11;FBXL14;LRRC41;FBXW2;PUM2;KCTD7;FBXO31;KLHL20;KLHL9;SPSB3;KLHL5;GAN;ASB9;ASB6;ASB7;CCDC22;FBXL5;FBXL7;ASB1,0.1729957805907173
0,1025,Intra-Golgi And Retrograde Golgi-to-ER Traffic R-HSA-6811442,34/181,3.558480427805405e-09,Vesicle-mediated transport,Reactome_2022,3.975955785257436e-11,0.0,0.0,4.394324430074755,105.23603224201736,ARF3;ARF4;SCOC;NBAS;TMF1;STX16;GOSR2;GOSR1;GOLIM4;RABEPK;BICD2;TGOLN2;ARFRP1;GOLGA4;KIF3B;MAN2A2;VPS51;GOLGA1;TMED3;KIF1C;VPS54;KIF1B;KIF21B;KIF3C;KIFAP3;NAA30;SURF4;M6PR;KIFC2;CAPZA2;RAB18;PLIN3;NAA38;PAFAH1B2,0.1878453038674033
0,1025,Retrograde Transport At Trans-Golgi-Network R-HSA-6811440,14/48,5.312353163568084e-06,Vesicle-mediated transport,Reactome_2022,7.419487658614644e-08,0.0,0.0,7.71437714551696,126.64361810791952,SCOC;NAA30;TMF1;STX16;M6PR;RABEPK;TGOLN2;ARFRP1;GOLGA4;VPS51;GOLGA1;VPS54;PLIN3;NAA38,0.2916666666666667
0,1025,Ubiquitin-Like Protein Transferase Activity (GO:0019787),34/240,6.398480995353671e-06,catalytic activity,GO_Molecular_Function_2023,7.457437057521762e-08,0.0,0.0,3.1259294818414274,51.30109462093719,UBE2D4;RNF13;RNF14;MGRN1;UBR3;RNF6;FBXO21;RMND5B;MAEA;RMND5A;ARIH2;RBBP6;RNF130;FBXO9;RSPRY1;UBL4A;UBE2E3;UBE2E2;FBXO11;FBXL14;FBXW2;PJA2;KLHL20;KLHL9;UBE2W;TTC3;RLIM;RNF181;UBE2O;BCOR;FBXL5;RNF141;DZIP3;RNF220,0.14166666666666666
0,1025,Ubiquitin Protein Ligase Activity (GO:0061630),41/311,4.030925124963966e-06,catalytic activity,GO_Molecular_Function_2023,2.81882875871606e-08,0.0,0.0,2.886574074074074,50.18124078934081,RNF10;PPP1R11;RNF13;RNF14;MGRN1;MYCBP2;RNF38;LTN1;UBR3;RNF6;UBE3B;UBR1;RPGR;RNF157;HERC4;ZNRF2;RNF114;HECTD1;RNF138;UBR5;ARIH2;RBBP6;LONRF1;RNF130;TRIM44;MARCHF5;KCMF1;RNF44;FBXO17;UBE4A;BFAR;RC3H2;PJA2;RNF144A;RLIM;RNF181;UBE2O;TRIP12;RNF121;RNF220;ASB1,0.13183279742765272
0,1025,post-Golgi Vesicle-Mediated Transport (GO:0006892),16/56,3.0667510889375397e-06,localization,GO_Biological_Process_2023,1.2097637431706272e-08,0.0,0.0,7.506442021803766,136.8443571318268,VPS13C;SEC16A;VPS13A;AP3D1;SCAMP1;SCAMP3;KLHL20;AP4M1;GGA2;SCFD1;AP1G2;DOP1B;VPS54;CCDC22;CCDC93;VTI1B,0.2857142857142857
0,1025,Ubiquitin-Like Protein Ligase Activity (GO:0061659),41/319,6.20102607960472e-06,catalytic activity,GO_Molecular_Function_2023,5.7818424984659395e-08,0.0,0.0,2.802308153477218,46.70315094366643,RNF10;PPP1R11;RNF13;RNF14;MGRN1;MYCBP2;RNF38;LTN1;UBR3;RNF6;UBE3B;UBR1;RPGR;RNF157;HERC4;ZNRF2;RNF114;HECTD1;ZMIZ1;RNF138;UBR5;ARIH2;RBBP6;LONRF1;RNF130;TRIM44;MARCHF5;KCMF1;RNF44;FBXO17;BFAR;RC3H2;PJA2;RNF144A;RLIM;RNF181;UBE2O;TRIP12;RNF121;RNF220;ASB1,0.12852664576802508
0,1025,Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161),43/319,2.2431019710695044e-06,cellular process,GO_Biological_Process_2023,6.6363963641109605e-09,0.0,0.0,2.9666496945010183,55.86408072215193,RNF10;WDR26;LTN1;UBR3;UBR1;ECPAS;PCNP;RMND5B;ZNRF2;MAEA;HECTD1;RMND5A;UBXN8;DCAF11;DCAF12;FBXO9;FBXW4;KLHDC2;AKIRIN2;KLHDC3;RHBDD2;FEM1B;FBXO17;TRIP4;UBE4A;KCTD2;BFAR;ARMC8;KCTD5;FBXL14;PJA2;FBXO31;KLHL20;SPSB3;UBE2W;APPBP2;NEMF;GID8;DNAJC10;TRIP12;FBXL5;FBXL7;RNF121,0.13479623824451412
0,1025,cullin-RING Ubiquitin Ligase Complex (GO:0031461),30/174,1.1229377975395802e-06,protein-containing complex,GO_Cellular_Component_2023,4.640238832808182e-09,0.0,0.0,3.9428391959799,75.65716990987181,TMEM183A;PDCD6;DCAF5;DCAF4;DCAF6;FBXO42;DDA1;DCAF11;DCAF12;FBXO9;FBXW4;KLHDC2;KLHDC3;USP47;ZYG11B;FEM1B;FBXO17;KLHL2;KCTD2;KCTD5;FBXL14;FBXO31;KLHL20;KLHL9;SPSB3;APPBP2;GAN;KLHL7;FBXL5;FBXL7,0.1724137931034483
0,1025,Protein Localization (GO:0008104),48/351,2.181297983357869e-07,localization,GO_Biological_Process_2023,5.377953607884291e-10,0.0,0.0,3.0275748147998014,64.61917324057553,CUTA;ARF3;ARF4;STX12;C17ORF75;TMED10;SAR1A;STX16;PDCD6;VPS26C;ARL1;TM9SF4;TM9SF3;RPGR;GGA2;AP4M1;ARFRP1;ARL17A;SCFD1;ODR4;GRPEL1;FHIP1B;TMED3;TBC1D13;TIMM17A;AP4S1;ARL5A;TMED5;TMED4;USP9X;STX8;PAM16;STX7;AP3D1;VPS13A;RABL2B;HPS6;TIMM44;TM9SF2;TM9SF1;RAP2A;SEC23IP;NIN;HOOK2;UNC50;ERP29;RAB18;PHIP,0.13675213675213677
