Community Index,Community Size,Term,Overlap,Adjusted P-value,Category,Gene_set,P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Overlap (value)
1,1000,RNA Binding (GO:0003723),357/1411,1.6718725747520844e-163,binding,GO_Molecular_Function_2023,4.3652025450446074e-166,0.0,0.0,9.453318617368184,3599.4026866869426,POP5;SLC4A1AP;POP1;RTCA;RRP1;PPAN;FCF1;HNRNPU;GPATCH4;HNRNPR;PWP2;CCAR1;RRP9;LSM10;PNN;SNRPD2;SNRPD1;ALKBH1;DHX57;MAGOH;LUC7L;ARL6IP4;SNRPD3;ABT1;DDX18;NGDN;METTL3;DNTTIP2;DDX10;WDR75;RC3H2;CDC40;GTPBP4;SRRM1;DDX39B;LACTB2;CLNS1A;ZC3H11A;SUB1;SARNP;GRWD1;CCDC86;SRFBP1;AARS1;DHX8;CSTF3;MRPL19;CSTF2;MRPL16;NOLC1;SNU13;NMD3;MRPL12;HTATSF1;MRPL13;GSPT1;MRPL11;RRP7A;MRPL20;DHX33;PDCD11;ERI1;DHX35;ERI3;RRS1;RBM12;LYAR;RBM10;TRMT1L;PRPF38B;PRPF38A;PNO1;MRPL27;KNOP1;LARP7;MRPL28;UPF3B;PRRC2C;UPF3A;PA2G4;LARP4;MRPL23;MAGOHB;PUM3;MRPL22;AIMP1;HNRNPL;TBL3;TBL2;HNRNPK;LAS1L;EPRS1;FUBP1;HNRNPD;MPHOSPH10;RNPS1;DHX29;NOL11;HNRNPC;ALDH18A1;NOL12;FARSA;DZIP3;MRPS15;DAZAP1;GFM1;FASTKD1;MRPS14;FASTKD2;MRPS11;MRPS12;SRP54;MRPL39;NAT10;MRPL37;AATF;SMG7;ZCCHC17;WDR46;WDR43;MRPL41;MRPL42;SYNCRIP;MRPL40;PCF11;DHX15;RRP12;UTP14A;MRPS28;MRPS26;WDR36;MRPS27;CLUH;NSUN2;PABPC4;STRBP;MRPS23;PRPF40A;MRPS7;GNL2;MRPL44;GNL3;WDR33;NME1;NSA2;SLTM;SDE2;FAM32A;HNRNPH2;HNRNPH3;FYTTD1;SF3B5;STAU1;NIP7;SRRT;HEATR1;MRPS31;NOL7;NOL8;MRPS30;NOL6;BCLAF1;EXOSC10;TCOF1;SRP72;PES1;SF3B1;SRSF11;TEFM;TSNAX;SF3A3;UTP6;SF3A1;UTP4;YTHDF3;UTP3;RSRC2;NOC3L;RRP1B;NPM3;ELP5;LRPPRC;NUDT21;BOP1;RSL1D1;PHF5A;XPOT;SERBP1;HNRNPA2B1;TRMT6;TSR1;UBAP2;TARDBP;SRP19;RPP30;BCCIP;NUCKS1;CASC3;APEH;YARS1;BZW1;FBL;HMGN5;ZNF207;MTPAP;SNRNP35;CHCHD1;EIF1AX;DIMT1;THOC2;WBP11;THOC5;PUS7;ILF2;FTSJ3;EBNA1BP2;ILF3;RBMXL1;PRPF6;HNRNPUL1;PSPC1;RPL7L1;PRPF3;MRTO4;SRSF2;SRSF3;GEMIN5;SRSF4;ERH;MATR3;SRSF5;SRSF6;SRSF7;FKBP3;SRSF8;SRSF9;DAP3;LRRC59;UTP25;RBM8A;YTHDC1;DDX1;UTP23;NOP2;ISG20L2;UBFD1;PRPF8;EMG1;G3BP1;KHDC4;UTP20;GCN1;HSPA9;NOP14;CHTOP;NOP16;FUS;API5;NONO;RPP40;LSM1;TBCA;LSM3;CHERP;LSM8;GNL3L;CAPRIN1;PIN4;GRSF1;RBM27;RBM28;RBM25;DDX49;RBM26;DDX46;NVL;CCDC47;WDR3;MRPL4;RBM3;NGRN;MRPL3;MRPL2;MRPL1;SART3;SNRNP70;MRPL9;RBM34;TNPO1;METTL16;RBM5;UTP15;EIF5B;TSFM;RBM14;RBM19;EDF1;URB1;UTP18;DARS1;PTBP2;SUPV3L1;DNAJC2;SARS1;DDX19B;NEMF;C1D;LUC7L3;ETF1;NCBP3;DDX27;NUFIP1;NUFIP2;SRSF1;MAK16;DDX23;WBP4;GTPBP10;DDX21;U2AF1;MTIF2;TBRG4;HSPD1;PUF60;U2AF2;BMS1;TRA2B;TRA2A;EIF4H;HNRNPA1;SMNDC1;DCAF13;HNRNPA0;NOP56;PTCD3;RBM39;NOP58;HNRNPA3;SSB;GPKOW;NIFK;KRR1;CDC5L;IMMT;HSPE1;HNRNPAB;TPD52L2;U2SURP;SNRNP40;ESF1;FAM98A;SLIRP;NAA15;R3HDM1;PPIL4;EIF3B;FAM50A,0.25301204819277107
1,1000,90S Preribosome (GO:0030686),7/12,3.9056680376174656e-06,protein-containing complex,GO_Cellular_Component_2023,4.85779606668839e-07,0.0,0.0,26.780463242698893,389.3212736229914,RSL1D1;NOP14;TBL3;UTP4;HEATR1;SRFBP1;UTP20,0.5833333333333334
1,1000,Translocation Of Molecules Into Host (GO:0044417),6/7,3.3525667753758274e-06,biological process involved in interspecies interaction between organisms,GO_Biological_Process_2023,1.0321697591447189e-07,0.0,0.0,114.682092555332,1844.825741094551,DDX39B;THOC1;THOC2;THOC5;THOC7;THOC6,0.8571428571428571
1,1000,Viral mRNA Export From Host Cell Nucleus (GO:0046784),6/7,3.3525667753758274e-06,viral process,GO_Biological_Process_2023,1.0321697591447189e-07,0.0,0.0,114.682092555332,1844.825741094551,DDX39B;THOC1;THOC2;THOC5;THOC7;THOC6,0.8571428571428571
1,1000,Regulation Of RNA Metabolic Process (GO:0051252),19/91,3.2658914563235643e-06,biological regulation,GO_Biological_Process_2023,9.539589869180037e-08,0.0,0.0,5.09162985615585,82.30736897288138,SF3B5;ENY2;SF3B3;FUS;SRSF1;RRP1B;PTBP2;RC3H2;PQBP1;HNRNPL;SNRNP70;TRA2B;METTL4;HNRNPH2;HNRNPH3;HNRNPA1;RBM12;GRSF1;FAM50A,0.2087912087912088
1,1000,Ribosome Assembly (GO:0042255),14/50,3.2658914563235643e-06,cellular process,GO_Biological_Process_2023,9.668121540330268e-08,0.0,0.0,7.479603335587108,120.80940652641092,RRP7BP;MRPS11;NOP2;PPAN;MRPS2;PWP2;MRPS7;MRPL22;RRP7A;NGRN;MRPL20;RRS1;DHX29;MDN1,0.28
1,1000,"Maturation Of LSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)",8/14,3.06678889330406e-06,cellular process,GO_Biological_Process_2023,8.715563462320597e-08,0.0,0.0,25.52956989247312,414.9977209945581,DDX18;NIFK;PES1;RPL7L1;URB1;WDR12;RBM34;FTSJ3,0.5714285714285714
1,1000,Regulation Of mRNA Processing (GO:0050684),12/35,2.355073834212258e-06,biological regulation,GO_Biological_Process_2023,6.55349142735205e-08,0.0,0.0,10.021299067065655,165.75912905192055,RBM39;HNRNPK;RBM8A;SLTM;YTHDC1;MAGOH;PAPOLA;LARP7;SRSF3;METTL16;MAGOHB;SRRM1,0.34285714285714286
1,1000,TIM23 Mitochondrial Import Inner Membrane Translocase Complex (GO:0005744),8/15,1.4953846246819636e-06,protein-containing complex,GO_Cellular_Component_2023,1.78553388021727e-07,0.0,0.0,21.881336405529957,340.00048032551064,DNAJC19;HSPA9;GRPEL1;PAM16;TIMM17A;TIMM23;TIMM17B;TIMM10,0.5333333333333333
1,1000,Mitochondrion Organization (GO:0007005),27/162,1.252630227328474e-06,cellular process,GO_Biological_Process_2023,3.411544728070444e-08,0.0,0.0,3.8776978417266186,66.67125816240343,ATP23;TIMM9;TIMM13;MIEF1;TIMM10;TOMM20;HSPD1;CHCHD3;SAMM50;MSTO1;CHCHD7;TIMM17A;TIMM17B;MPV17;SLC25A46;DNAJC19;TIMM8B;CLUH;MTX2;TOMM34;TIMM23;GDAP1;SUPV3L1;OXA1L;FMC1;MTFR1;ATPAF1,0.16666666666666666
1,1000,U2-type Catalytic Step 2 Spliceosome (GO:0071007),11/29,6.087628297365013e-07,protein-containing complex,GO_Cellular_Component_2023,6.965942827830611e-08,0.0,0.0,11.729131558251884,193.29195683775657,SNRNP40;DHX8;SNRPD2;SNRPD1;BUD31;CDC5L;SNRPE;SNRPD3;PRPF8;BCAS2;CDC40,0.3793103448275862
1,1000,Establishment Of Protein Localization To Mitochondrion (GO:0072655),14/44,5.891261549292019e-07,localization,GO_Biological_Process_2023,1.569607872813149e-08,0.0,0.0,8.978363759296823,161.33989415853253,DNAJC19;TIMM8B;TIMM9;PAM16;TIMM13;TOMM34;TIMM23;TIMM10;TOMM20;GDAP1;HSPD1;GRPEL1;TIMM17A;TIMM17B,0.3181818181818182
1,1000,Mitochondrial Transport (GO:0006839),14/53,6.863252402879352e-06,localization,GO_Biological_Process_2023,2.153655283319157e-07,0.0,0.0,6.90315701877568,105.96987410380817,DNAJC19;TIMM8B;MTX2;TIMM9;TOMM34;TIMM13;TIMM23;TIMM10;TOMM20;GDAP1;OXA1L;KIFBP;TIMM17A;TIMM17B,0.2641509433962264
